review_text,sentiment,review_length
"i love my 350 headset.. my jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1,130
"the camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0,146
i purcashed this for the car charger and it does not work.,0,58
"sound quality on both end is excellent, i use headset to call my wife and ask my wife to use headset to call me 2.",1,114
this phone is slim and light and the display is beautiful.,1,58
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1,143
"great product, fast shipping.",1,29
absolutely great.,1,17
the keyboard is a nice compromise between a full qwerty and the basic cell phone number keypad.,1,95
i got this phone around the end of may and i'm completely unhappy with it.,0,74
it is very comfortable on the ear.,1,34
it has been a winner for us.,1,28
)setup couldn't have been simpler.,1,34
i've tried several different earpieces for my cell phone and this jabra one is the first one i've found that fits my ear comfortably.,1,133
could not get strong enough signal.,0,35
iam very pleased with my purchase.,1,34
bad quality.,0,12
gets the job done.,1,18
great audio.,1,12
basically the service was very bad.,0,35
it did not work in my cell phone plug i am very up set with the charger.,0,72
"i've only had my bluetooth for a few weeks, but i really like it.",1,65
the bt headset was such a disapoinment.,0,39
it is so small and you don't even realize that it is there after a while of getting used to it.,1,95
the accompanied software is almost brilliant.,1,45
headset works great & was packaged nicely to avoid any damage.,1,62
i definitly recommend,1,21
buyer--be very careful.,0,23
the majority of the logitech earbud headsets failed.,0,52
very good stuff for the price.,1,30
my headset works just peachy-keen.,1,34
in my house i was getting dropped coverage upstairs and no coverage in my basement.,0,83
voice recognition is tremendous,1,31
what a waste.,0,13
"during several different 2 minute calls, i experienced 5 drops and it was in an area that had 5 bars.",0,101
i was not happy with this item.,0,31
very disappointed.,0,18
the phone takes forever to charge like 2 to 5 hours literally.,0,62
i got this phone on reccomendation from a relative and i'm glad i did.,1,70
what a waste of time,0,20
its reception is very very poor.,0,32
items stated as included from the description are not included.,0,63
"after 3 months, screen just went black all of a sudden.",0,55
i was hoping for more.,0,22
"audio quality is poor, very poor.",0,33
i had absolutely no problem with this headset linking to my 8530 blackberry curve,1,81
"i know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.well, this one works great.",1,121
i've bought $5 wired headphones that sound better than these.,0,61
this phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1,132
"nice quality build, unlike some cheap s*** out there.",1,53
this item is fantastic and works perfectly,1,42
and i just love the colors,1,26
w810i is just superb.,1,21
"all i can do is whine on the internet, so here it goes.the more i use the thing the less i like it.",0,99
great charger.,1,14
this is essentially a communications tool that does not communicate.,0,68
works like a charm; it work the same as the one i got with the phone.,1,69
"i still maintain that monkeys shouldn't make headphones, we just obviously don't share enough dna to copy the design over to humans.",0,132
great value.,1,12
doesn't work at all.. i bougth it for my l7c and its not working.,0,65
"the look of it is very sharp and the screen is nice and clear, with great graphics.",1,83
doesn't last long.,0,18
one thing i hate is the mode set button at the side.,0,52
excellent service.,1,18
thank you for wasting my money.,0,31
how can that be?the audio quality is poor.,0,42
the igo chargers and tips are really great.,1,43
the file browser offers all the options that one needs.handsfree is great.,1,74
superb phone on a great network.,1,32
"i connected my wife's bluetooth, to my phone and it worked like a charm whether the phone was in my pocket or the case.",1,119
"i put the latest os on it , and it now likes to slow to a crawl and lock up every once in a while.",0,98
it only recognizes the phone as its storage device.,0,51
"if you like a loud buzzing to override all your conversations, then this phone is for you",0,89
don't buy this product.,0,23
i've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0,109
the sound quality is good and functionality is awesome.,1,55
"i have this phone and it is a thorn in my side, i really abhor it.",0,66
i recently had problems where i could not stay connected for more than 10 minutes before being disconnected.,0,108
incredible.,1,11
design flaw?.,0,13
great phone.,1,12
waste of 13 bucks.,0,18
"but when i check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then i'm lost.",0,125
the replacement died in a few weeks.,0,36
any ring tone..overall good phone to buy..,1,42
lately they have been extremely nice and helpful on the phone.,1,62
i have had problems wit hit dropping signal and more.,0,53
not impressed.,0,14
"light weight, i hardly notice it is there.",1,42
you'll love how thin it is.,1,27
bad choice.,0,11
the pleather case doesn't fit.,0,30
"useless phone, simply deaf.",0,27
"the color is even prettier than i thought it would be, and the graphics are incredibly sharp.",1,93
all in all i think it was a good investment.,1,44
it makes very strange ticking noises before it ends the call.,0,61
the best electronics of the available fm transmitters.,1,54
battery lasts only a few hours.,0,31
"great headset, very impressed - h500.",1,37
"the ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1,74
i've had this for nearly 2 years and it has worked great for me.,1,64
good transmit audio.,1,20
we are sending it back.,0,23
i did not bother contacting the company for few dollar product but i learned the lesson that i should not have bought this form online anyway.,0,142
"if you hate earbugs, avoid this phone by all means.",0,51
great price also,1,16
"the range is very decent, i've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1,138
fast service.,1,13
i would highly recommend this.,1,30
i would recommend this.,1,23
"i also didn't like the ""on"" button, it felt like it would crack with use.",0,73
worst phone ever.,0,17
i'm still infatuated with this phone.,1,37
freezes frequently4.,0,20
it's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0,116
"simple, lightweight and great fit.",1,34
"all in all, i'd expected a better consumer experience from motorola.",0,68
there's a horrible tick sound in the background on all my calls that i have never experienced before.,0,101
these are certainly very comfortable and functionality is decent.,1,65
i usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1,90
i'm a bit disappointed.,0,23
"i have had this phone for over a year now, and i will tell you, its not that great.",0,83
i ordered this for sony ericsson w810i but i think it only worked once .,0,72
the battery is completely useless to me.,0,40
what a big waste of time.,0,25
don't waste your $$$ on this one.,0,33
great sound and service.,1,24
really pleased with this product so far.,1,40
one of my favorite purchases ever.,1,34
best bluetooth on the market.,1,29
authentic leather with nice shine and comfort .i recommend you this case ,1,73
i was very excited to get this headset because i thought it was really cute.,1,76
do not make the same mistake as me.,0,35
big disappointment with calendar sync.,0,38
the phone was unusable and was not new.,0,39
worst customer service ever.,0,28
"no additional ear gels provided, and no instructions whatsoever.",0,64
it defeats the purpose of a bluetooth headset.,0,46
worth every penny.,1,18
excellent wallet type phone case.,1,33
nice headphones for the price and they work great,1,49
internet is excrutiatingly slow.,0,32
"it is very comfortable to wear as well, which is probably the most important aspect about using a case.",1,103
"it's fits like a glove and is strong, secure, and durable.",1,58
o my gosh the best phone i have ever had.,1,41
it's very attractive and appears to be of good quality.,1,55
i love all the features and form factor.,1,40
this product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0,109
poor quality and service.,0,25
"the cable looks so thin and flimsy, it is scary.",0,48
great earpiece.,1,15
excellent hands free tool.,1,26
great for using with your home stereo.,1,38
good product - incredible value.,1,32
only had this a month but it's worked flawlessly so far.,1,56
works great.,1,12
absolutel junk.,0,15
that one didn't work either.,0,28
battery life is real good.,1,26
returned 8 hours later.,0,23
it's a great item.,1,18
don't waste your money.,0,23
love this headset,1,17
"not only will it drain your player, but may also potentially fry it.",0,68
worked perfectly,1,16
unreliable - i'm giving up.,0,27
i gave it 5 stars because of the sound quality.,1,47
avoid this one if you can.,0,26
reversible plug works great.,1,28
i wasted my little money with this earpiece.,0,44
very good phone.,1,16
"best of all is the rotating feature, very helpful.",1,50
comfort for our whole family.,1,29
"good product, good seller.",1,26
i love this bluetooth,1,21
"first of all, it doesn't wear well.",0,35
i am very impressed with this headset from plantronics.,1,55
i got it because it was so small and adorable.,1,46
great phone.,1,12
i wouldn't recommend buying this product.,0,41
piece of junk.,0,14
poorly contstruct hinge.,0,24
"this item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1,118
great phone.,1,12
don't buy it.,0,13
excellent phone.,1,16
do not purchase this phone.,0,27
the voice recognition thru the handset is excellent.,1,52
this is hands down the best phone i've ever had.,1,48
"works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1,111
this one works and was priced right.,1,36
customer service was terrible.,0,30
battery life still not long enough in motorola razor v3i.,0,57
sending it back.,0,16
now i know that i made a wise decision.,1,39
someone shouldve invented this sooner.,1,38
good price.,1,11
everything worked on the first try.the device was certainly engineered in a clever way and the construction feels good.,1,119
i received it quickly and it works great,1,40
has been working great.,1,23
"as many people complained, i found this headset's microphone was very weak.",0,75
my 5-year old nokia 2160 from tracfone holds the charge a lot better than this.,0,79
they do not care about the consumer one bit.,0,44
"this is a good battery, and it got here really fast.",1,52
the instruction manual is lacking.,0,34
also its slim enough to fit into my alarm clock docking station without removing the case.,1,90
phone now holds charge like it did when it was new.,1,51
the battery is unreliable as well as the service use antena.,0,60
it's uncomfortable and the sound quality is quite poor compared with the phone .,0,80
we have gotten a lot of compliments on it.,1,42
this is definitely a must have if your state does not allow cell phone usage while driving.,1,91
i want my money back.,0,21
i love this device.,1,19
i am also very happy with the price.,1,36
i ordered this product first and was unhappy with it immediately.,0,65
the ngage is still lacking in earbuds.,0,38
i was able to do voice dialing in the car with no problem.,1,58
"i have 2-3 bars on my cell phone when i am home, but you cant not hear anything.",0,80
"good item, low price.",1,21
"however-the riingtones are not the best, and neither are the games.",0,67
the plug did not work very well.,0,32
amazon sucks.,0,13
rip off---- over charge shipping.,0,33
very comfortable.,1,17
the battery is working well as a replacement for the original that came with the phone over 2 years ago.,1,104
the reception is excellent,1,26
"it fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1,102
"very clear, quality sound and you don't have to mess with the sound on your ipod since you have the sound buttons on the headset.",1,129
1. long lasting battery 2.,0,26
obviously there is a problem with the adhesive.,0,47
very disappointing.,0,19
"it was an inexpensive piece, but i would still have expected better quality.",0,76
it is practically useless and did not add any kind of boost to my reception after i bought it.,0,94
excellent sound quality.,1,24
was not happy.,0,14
a piece of junk that broke after being on my phone for 2 days,0,61
new battery works great in phone.,1,33
worst customer service.,0,23
"i've dropped my phone more times than i can say, even on concrete and my phone is still great .",1,95
reception is terrible and full of static.,0,41
good audio quality.,1,19
this little device has transformed my organizational capability and made my life a whole lot easier.,1,100
"i was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",0,85
were jerks on the phone.,0,24
works like a charm.. works as advertised.,1,41
"comfortable, nice range, good battery life.",1,43
their network coverage in los angeles is horrible.,0,50
excellent starter wireless headset.,0,35
"the loudspeaker option is great, the bumpers with the lights is very ... appealing.",0,83
the only thing that i think could improve is the sound leaks out from the headset.,0,82
"first off the reception sucks, i have never had more than 2 bars, ever.",0,71
the phone gets extremely hot,0,28
"the microphone also works well, but  it applifies everything.",1,61
nice design and quality.,1,24
"also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",0,100
"it is light, easy to use, and has very clear reception and transmission.",1,72
"bad fit, way too big.",0,21
it definitely was not as good as my s11.,1,40
awesome device.,1,15
waste of money.,0,15
"i had ordered a motorola data cable, got a very well finished and working product.",1,82
love this phone.,1,16
i was looking for this headset for a long time and now that i've got it i couldn't be happier.,1,94
"i'll be drivng along, and my headset starts ringing for no reason.",0,66
display is excellent and camera is as good as any from that year.,1,65
battery life is also great,1,26
the worst phone i've ever had.... only had it for a few months.,0,63
not a good item.. it worked for a while then started having problems in my auto reverse tape player.,0,100
this is so embarassing and also my ears hurt if i try to push the ear plug into my ear.,0,87
protects the phone on all sides.,1,32
this is a very average phone with bad battery life that operates on a weak network.,0,83
"clear skype calls, long battery life, long range.",1,49
soyo technology sucks.,0,22
great hands free device.,1,24
"you can even take self portraits with the outside  display, very cool.",1,70
same problem as others have mentioned.,0,38
after trying many many handsfree gadgets this is the one that finally works well.,1,81
magical help.,1,13
the worst piece of crap ever along with the verizon customer service.,0,69
poor sound quality.,0,19
the best phone in market :).,1,28
it worked very well.,1,20
the company shipped my product very promptly and it works well.,1,63
exactly what i wanted.,1,22
the picture resolution is far below what other comparably-priced phones are offering today.,0,91
this is a great deal.,1,21
"excellent product, i am very satisfied with the purchase.",1,57
i highly recommend these and encourage people to give them a try.,1,65
better than you'd expect.,1,25
"using all earpieces, left or right, this thing will not stay on my ear.",0,71
great product and price.,1,24
"sounds good reasonably priced and effective, its that simple ",1,61
still waiting...... i'm sure this item would work well.. if i ever recieve it,0,77
what a disappointment,0,21
very prompt service.,1,20
excellent product for the price.,1,32
very pleased with this headset.,1,31
don't waste your money and time.,0,32
i especially love the long battery life.,1,40
"it's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",0,132
works great.,1,12
plantronics bluetooth excelent buy.,1,35
i came over from verizon because cingulair has nicer cell phones.... the first thing i noticed was the really bad service.,0,122
i'll be looking for a new earpiece.,0,35
i highly recommend this device to everyone,1,42
jawbone era is awesome too,1,26
we received a white colored battery that goes dead after a couple hoursthe original used to last a week - but still lasts longer than thereplacement,0,148
after a year the battery went completely dead on my headset.,0,60
"i have used several phone in two years, but this one is the best.",1,65
an awesome new look for fall 2000.,1,34
this is the first phone i've had that has been so cheaply made.,0,63
"att is not clear, sound is very distorted and you have to yell when you talk.",0,77
the plastic breaks really easy on this clip.,0,44
price is good too.,1,18
don't make the same mistake i did.,0,34
oh and i forgot to also mention the weird color effect it has on your phone.,0,76
i'm using it with an iriver spinn  and it fits fine.,1,52
also the area where my unit broke).- i'm not too fond of the magnetic strap.,0,76
"overall, i am psyched to have a phone which has all my appointments and contacts in and gets great reception.",1,109
"every thing on phone work perfectly, she like it.",1,49
"another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",0,115
it's really easy.,1,17
my sanyo has survived dozens of drops on blacktop without ill effect.,1,69
fantastic earphones.,1,20
it finds my cell phone right away when i enter the car.,1,55
low quality.,0,12
i highly recommend this modest priced cellular phone.,1,53
but it does get better reception and clarity than any phone i've had before.,1,76
warning - stay away.,0,20
i wish i could return the unit and get back my money.,0,53
awsome device works great.,1,26
i used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,0,94
"if you don't find it, too bad, as again the unit comes with one earpad only.i would not recommend this to anyone.",0,113
very displeased.,0,16
"i might have gotten a defect, but i would not risk buying it again because of the built quality alone.",0,102
they made this case too small and is very difficult to install.,0,63
restored my phone to like new performance.,1,42
"i would recommend purchasing the jabra jx-10 series 2 which works flawlessly with my moto q, go figure.",1,103
"i searched the internet, and found this one to be the best value.",1,65
does not fit.,0,13
very happy with this product.,1,29
"the screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",1,104
there's really nothing bad i can say about this headset.,0,56
"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",1,82
portable and it works.,1,22
"my colleague & i now get great reception.a little expensive, but performance is great.",1,86
i even fully charged it before i went to bed and turned off blue tooth and wi-fi and noticed that it only had 20  left in the morning.,0,134
i've also had problems with the phone reading the memory card in which i always turn it on and then off again.,0,110
not good when wearing a hat or sunglasses.,0,42
timely shipment and quality product.,1,36
nice solid keyboard.,1,20
very well made and fits my surefire gx2 perfectly.,1,50
horrible phone.,0,15
bt50 battery junk.,0,18
we would recommend these to others.,1,35
cant get the software to work with my computer.,0,47
disappointed.,0,13
poor voice clarity.,0,19
the battery works great,1,23
no buyers remorse on this one.,0,30
very disappointed in accessoryone.,0,34
i find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,0,99
"looks great and is strong.""",1,27
"i have had tmobile service for 2 or 3 years now, and i am pretty happy with it.",1,79
the update procedure is difficult and cumbersome.,0,49
disappointment.. i hate anything that goes in my ear.,0,53
great software for motorolas.,1,29
the delivery was on time.,1,25
very easy to use.,1,17
"uncomfortable in the ear, don't use with lg vx9900 .",0,52
the volume switch rocketed out of the unit to a destination unknown.,0,68
"it holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",1,130
i'd like to return it.,0,22
the keyboard is really worthwhile in usefulness and is sturdy enough i don't expect any problems.,1,97
"verizon's bills, however, are difficult to understand even though their pricing plans are simple.",0,97
"after charging overnight, these batteries work great.",1,53
you won't regret it,1,19
i love this phone.,1,18
a disappointment.,0,17
its not user friendly.,0,22
unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,0,140
"then i exchanged for the same phone, even that had the same problem.",0,68
this results in the phone being either stuck at max volume or mute.,0,67
this pda rocks.,1,15
"it is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",1,101
"i would definitely recommend the jabra bt250v for those who are looking for comfort, clarity and a great price",1,110
i had verizon 2 years ago and really liked their service.,1,57
pretty piece of junk.,0,21
plug was the wrong size.,0,24
works as described.,1,19
save your money.... i've had this item for 11 months now.,0,57
bad purchase.,0,13
well im satisfied.,1,18
"the bose noise cancelling is amazing, which is very important for a nyc commuter.",1,81
this battery is an excellent bargain,1,36
defective crap.,0,15
i would have given no star if i was able.,0,41
i wear glasses and it fits fine with them.,1,42
"the sound quality for the device is unacceptable.unless you are in a really quiet area, you almost hear nothing.",0,112
i would not recommend this item to anyone.,0,42
the holster that arrived did not match the photo in the ad.,0,59
great...no problems at all.,1,27
"as an earlier review noted, plug in this charger and nothing happens.",0,69
this frog phone charm is adorable and very eye catching.,1,56
you never know if you pushed it hard enough or the right number of times for the function you want or not.,0,106
the sound is clear and the people i talk to on it are amazed at the quality too.,1,80
i got the aluminum case for my new palm vx and it worked really well--it has protected my handheld perfectly so far.,1,116
"very good product, well made.",1,29
mobile phone tools are a must have.,1,35
i am very impressed with the job that motorola did on the sturdiness of this phone.,1,83
"i received my orders well within the shipping timeframe, everything was in good working order and overall, i am very excited to have this source.",1,145
the phone is sturdy and waterproof.,1,35
i am not impressed with this and i would not recommend this item to anyone.,0,75
my only complaint is the standard sound volume is a little low even when turned up to 5,0,87
thanks again to amazon for having the things i need for a good price,1,68
i ended up sliding it on the edge of my pants or back pockets instead.,1,70
i had to go to a store and bought a new nokia phone which is working great.,1,75
works great.,1,12
really ugly.,0,12
"horrible, had to switch 3 times.",0,32
the noise shield is incrediable.,1,32
no real improvement.,0,20
razr battery - good buy.,1,24
keep up the good work amazon,1,28
they refuse to refund or replace.,0,33
unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,0,149
so i basically threw my money out the window for nothing.,0,57
great case and price,1,20
all it took was one drop from about 6 inches above the kitchen counter and it was cracked.i am not impressed and i am not laughing.,0,131
"bluetooth range is good - a few days ago i left my phone in the trunk, got a call, and carried the conversation without a hitch.",1,128
"small, sleek, impressive looking, practical setup with ample storage in place.",1,78
the eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,1,103
none of the new ones have ever quite worked properly.,0,53
i am glad i purchased it.,1,25
i've missed numerous calls because of this reason.,0,50
"perhaps my phone is defective, but people cannot hear me when i use this.",0,73
don't buy this product.,0,23
"sucked, most of the stuff does not work with my phone.",0,54
"no shifting, no bubbling, no peeling, not even a scratch, nothingi couldn't be more happier with my new one for the droid.",1,122
worst software ever used.... if i could give this zero stars i would.,0,69
trying to make a call on these is an exercise in frustration.,0,61
the case is a flimsy piece of plastic and has no front or side protection whatsoever.,0,85
"i own a jabra earset and was very happy with it, but the sound quality, especially outgoing, on this is better.",1,111
"i love the camera, it's really pretty good quality.",1,51
thank you for such great service.,1,33
its a total package.,1,20
"the seller is very understanding and patient, i would definitely buy from them again.",1,85
i give wirefly 1 star.i will contact cingular/at&t; and inform them of this practice.,0,85
it's aggravating,0,16
great product for the price.,1,28
"i have purchased these for both family and friends, and all enjoy their clarity and ease of use",1,95
virgin wireless rocks and so does this cheap little phone,1,57
"none of it works, just don't buy it.",0,36
"muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off.",0,102
please dont waste your money.,0,29
"all in all, i'm quite satisfied with this purchase.",1,51
"if you are looking for a good quality motorola headset keep looking, this isn't it.",0,83
yet plantronincs continues to use the same flawed charger design.,0,65
disapointing results.,0,21
cumbersome design.,0,18
"great it was new packaged nice works good, no problems and it came in less time then i expected",1,95
great product.,1,14
it's a piece of crap,0,20
"my experience was terrible..... this was my fourth bluetooth headset, and while it was much more comfortable than my last jabra (which i hated",0,142
this fixes all the problems.,1,28
worst ever.,0,11
i am very happy,1,15
"i've had no trouble accessing the internet, downloading ringtones or performing any of the functions.",1,101
"i can barely ever hear on it and am constantly saying ""what?""",0,61
the battery life is highly unacceptable.,0,40
that company is a joke.,0,23
it does everything the description said it would.,1,49
due to this happening on every call i was forced to stop using this headset.,0,76
"it works great with a car charger, especially if you cannot plug in two adapters at the same time.",1,98
"verizon tech support walked my through a few procedures, none of which worked and i ended up having to do a hard re-set, wiping out all my data.",0,144
"voice quality, signal strength, dropped calls.",0,46
"it plays louder than any other speaker of this size; the price is so low that most would think the quality is lacking, however, it's not.",1,137
better than expected.,1,21
"it feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.",0,132
battery is holding up well.,1,27
also difficult to put on.i'd recommend avoiding this product.,0,61
"i only used it two days, and it wasn't always easy to hear with.",0,64
i got the car charger and not even after a week the charger was broken...i went to plug it in and it started smoking.,0,117
sprint - terrible customer service.,0,35
linked to my phone without effort.,1,34
they are so cool,1,16
easy to use.,1,12
better than new.,1,16
"what possesed me to get this junk, i have no idea...",0,52
piece of trash.,0,15
a pretty good product.,1,22
this is a great phone.,1,22
"for the price on amazon, it is an excellent product, which i would highly recommend.",1,84
their research and development division obviously knows what they're doing.,1,75
"the real killer is the volume, and of course it breaking.",0,57
those phones are working just fine now.,1,39
i am more than happy with this product.,1,39
poor construction.,0,18
this is infuriating.,0,20
"overall, i would recommend this phone over the new walkman.",1,59
sprint charges for this service.,0,32
"it is cheap, and it feel and look just as cheap.",0,48
it fits my ear well and is comfortable on.,1,42
it doesn't work in europe or asia.,0,34
clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.,1,87
i like design and look of jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.,1,134
i was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.,1,113
the worst phone from samsung...crap..... this crappy samsung e715.. is the worst i have ever seeen.,0,99
the charger worked for about a week and then completely stopped charging my phone.,0,82
poor product.,0,13
however i needed some better instructions.,0,42
you need two hands to operate the screen.this software interface is decade old and cannot compete with new software designs.,0,124
worked very well paired with a treo 700w and as a skype headset on my pc .,1,74
"steer clear of this product and go with the genuine palm replacementr pens, which come in a three-pack.",0,103
do not buy do not buyit sucks,0,29
this is a great product..... sure beats using your fingers.,1,59
"plus, i seriously do not believe it is worth its steep price point.",0,67
all the other cases i've tried normally fall apart after a few months but this one seems to be in for the long haul.,1,116
very dissapointing performance.,0,31
don't make the same mistake that i did and please don't buy this phone.,0,71
this phone might well be the worst i've ever had in any brand.,0,62
case was more or less an extra that i originally put on but later discarded because it scratched my ear.,0,104
i recommend igo to anyone with different brand cell phones/mp3 players in the family.,1,85
don't bother - go to the store.,0,31
"i posted more detailed comments under the grey or black phone, but i have the fire red and it's a great color",1,109
i did not have any problem with this item and would order it again if needed.,1,77
you get what you pay for i guess.,0,33
"not only did the software do a great job of this, i could also make my own ringtones form my existing cds without an internet connection.",1,137
im surprised this is a good quality car charger and there's not much reviews about it.,1,86
these are fabulous,1,18
"however, bt headsets are currently not good for real time games like first-person shooters since the audio delay messes me up.",0,126
